image,location,duration,title
https://images.pexels.com/photos/1530259/pexels-photo-1530259.jpeg?auto=compress&cs=tinysrgb&w=600,"Paris, France",5 Days,Experience the Romance of Paris
https://images.pexels.com/photos/4134291/pexels-photo-4134291.jpeg?auto=compress&cs=tinysrgb&w=600,"New York, USA",7 Days,The Ultimate New York Adventure
https://images.pexels.com/photos/20343478/pexels-photo-20343478/free-photo-of-senso-ji-temple-in-tokyo.jpeg?auto=compress&cs=tinysrgb&w=600,"Tokyo, Japan",4 Days,Discover the Wonders of Tokyo
https://images.pexels.com/photos/15824082/pexels-photo-15824082/free-photo-of-illuminated-opera-and-harbor-bridge-in-sydney-at-sunset.jpeg?auto=compress&cs=tinysrgb&w=600,"Sydney, Australia",6 Days,Sydney: Beaches and Beyond
https://images.pexels.com/photos/18743977/pexels-photo-18743977/free-photo-of-burj-khalifa-under-clear-sky.jpeg?auto=compress&cs=tinysrgb&w=600,"Dubai, UAE",3 Days,Luxury and Adventure in Dubai
https://images.pexels.com/photos/18031013/pexels-photo-18031013/free-photo-of-vittorio-emanuele-ii-monument-in-rome.jpeg?auto=compress&cs=tinysrgb&w=600,"Rome, Italy",5 Days,Historical Rome: A Journey Through Time
https://images.pexels.com/photos/8299699/pexels-photo-8299699.jpeg?auto=compress&cs=tinysrgb&w=600,"Bangkok, Thailand",4 Days,Vibrant Bangkok: City of Angels
https://images.pexels.com/photos/19793124/pexels-photo-19793124/free-photo-of-tower-bridge-in-london.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=1,"London, UK",5 Days,London: A Blend of Tradition and Modernity
https://images.pexels.com/photos/2144326/pexels-photo-2144326.jpeg?auto=compress&cs=tinysrgb&w=600,"Bali, Indonesia",7 Days,Bali: Paradise on Earth
https://images.pexels.com/photos/5429565/pexels-photo-5429565.jpeg?auto=compress&cs=tinysrgb&w=600,"Cape Town, South Africa",6 Days,Explore the Beauty of Cape Town
https://images.pexels.com/photos/6237137/pexels-photo-6237137.jpeg?auto=compress&cs=tinysrgb&w=600,"Barcelona, Spain",5 Days,Barcelona: Art and Architecture
https://images.pexels.com/photos/15711737/pexels-photo-15711737/free-photo-of-merlion-fountain-in-singapore.jpeg?auto=compress&cs=tinysrgb&w=600,Singapore,4 Days,Singapore: A Modern Marvel
https://images.pexels.com/photos/15041537/pexels-photo-15041537/free-photo-of-abbey-of-santa-giustina-in-padua-in-italy.jpeg?auto=compress&cs=tinysrgb&w=600,"Venice, Italy",3 Days,Venice: City of Canals
https://images.pexels.com/photos/262786/pexels-photo-262786.jpeg?auto=compress&cs=tinysrgb&w=600,"Cairo, Egypt",6 Days,Explore Ancient Cairo
https://images.pexels.com/photos/24801679/pexels-photo-24801679/free-photo-of-castle-in-mont-saint-michel-in-france.jpeg?auto=compress&cs=tinysrgb&w=600,"Amsterdam, Netherlands",4 Days,Amsterdam: City of Canals and Culture
https://images.pexels.com/photos/8299218/pexels-photo-8299218.jpeg?auto=compress&cs=tinysrgb&w=600,"Moscow, Russia",5 Days,Moscow: A Historical Journey
https://images.pexels.com/photos/14186574/pexels-photo-14186574.jpeg?auto=compress&cs=tinysrgb&w=600,"Buenos Aires, Argentina",7 Days,Buenos Aires: Tango and Culture
https://images.pexels.com/photos/5069524/pexels-photo-5069524.jpeg?auto=compress&cs=tinysrgb&w=600,"Lisbon, Portugal",4 Days,Discover the Charm of Lisbon
https://images.pexels.com/photos/24960653/pexels-photo-24960653/free-photo-of-birds-eye-view-of-setur-kas-marina.jpeg?auto=compress&cs=tinysrgb&w=600,"Istanbul, Turkey",5 Days,Istanbul: Where East Meets West
https://images.pexels.com/photos/9305001/pexels-photo-9305001.jpeg?auto=compress&cs=tinysrgb&w=600,"Mumbai, India",4 Days,Mumbai: City of Dreams
https://images.pexels.com/photos/20129037/pexels-photo-20129037/free-photo-of-golden-gate-bridge-in-san-francisco.jpeg?auto=compress&cs=tinysrgb&w=600,"San Francisco, USA",5 Days,Explore San Francisco
https://images.pexels.com/photos/6559388/pexels-photo-6559388.jpeg?auto=compress&cs=tinysrgb&w=600,"Athens, Greece",3 Days,Athens: Cradle of Civilization
https://images.pexels.com/photos/2478248/pexels-photo-2478248.jpeg?auto=compress&cs=tinysrgb&w=600,"Toronto, Canada",4 Days,Toronto: A Vibrant City
https://images.pexels.com/photos/12640886/pexels-photo-12640886.jpeg?auto=compress&cs=tinysrgb&w=600,"Seoul, South Korea",5 Days,Discover Seoul
https://images.pexels.com/photos/17180344/pexels-photo-17180344/free-photo-of-scenic-stone-bridge-in-czech-republic.jpeg?auto=compress&cs=tinysrgb&w=600,"Prague, Czech Republic",4 Days,Prague: City of a Hundred Spires
https://images.pexels.com/photos/931007/pexels-photo-931007.jpeg?auto=compress&cs=tinysrgb&w=600,"Beijing, China",6 Days,Explore Beijing
https://images.pexels.com/photos/14038161/pexels-photo-14038161.jpeg?auto=compress&cs=tinysrgb&w=600,"Vienna, Austria",4 Days,Vienna: City of Music
https://images.pexels.com/photos/24801679/pexels-photo-24801679/free-photo-of-castle-in-mont-saint-michel-in-france.jpeg?auto=compress&cs=tinysrgb&w=600,"Berlin, Germany",5 Days,Berlin: History and Modernity
https://images.pexels.com/photos/17180344/pexels-photo-17180344/free-photo-of-scenic-stone-bridge-in-czech-republic.jpeg?auto=compress&cs=tinysrgb&w=600,"Rio de Janeiro, Brazil",7 Days,Rio: Carnival and Beaches
https://images.pexels.com/photos/24801679/pexels-photo-24801679/free-photo-of-castle-in-mont-saint-michel-in-france.jpeg?auto=compress&cs=tinysrgb&w=600,"Mexico City, Mexico",5 Days,Discover Mexico City
4o,,,
